id,filename,hypo
0,audio_0.wav,тревожная музыка
1,audio_1.wav,смех
2,audio_2.wav,батиша жрел ракта грямли сюда иди я сказал
3,audio_3.wav,высоль не понял
4,audio_4.wav,быстро за мной
5,audio_5.wav,ты где весь сентябрь уроки прогулил вообще
6,audio_6.wav,на команде телевизор твоей дома вынесет мам ну областная клиническая больница где ты взял такую печать
7,audio_7.wav,я в топ30 обатал тем с два
8,audio_8.wav,у меня реакция 140 милисекунд витя только прошу не убивай его
9,audio_9.wav,значит так лев завтра снего дня берешься за лун и наверх что вы же все что пропустил и никакого тебе компьютера
10,audio_10.wav,пока не закончишь четверть без трое
11,audio_11.wav,отлично выгодишь у чери миссия поздравляю
12,audio_12.wav,угу
13,audio_13.wav,спокойная музыка
14,audio_14.wav,тревожная музыка
15,audio_15.wav,тревожная музыка
16,audio_16.wav,тревожная музыка
17,audio_17.wav,нужно както под масками чтобы они почувствовали себя важными они короче теперь курируют проект
18,audio_18.wav,вестом меня валиса
19,audio_19.wav,в общем все что ты могла ты уже сделала поэтому просто снять зал и расслабься кстати у меня для тебя еще сюрприз и гнать еще один
20,audio_20.wav,девушка
21,audio_21.wav,я все хратва с видеть в этом замечательном месте как известно цертериор занимается поиском и поддержкой таланки в имолахе
22,audio_22.wav,чего встал еще не си
23,audio_23.wav,тревожная музыка
24,audio_24.wav,тревожная музыка
25,audio_25.wav,всем саламата карпатыч салент запоздания
26,audio_26.wav,ну и
27,audio_27.wav,подписываем контракт но будет жесткий будет смотреть не только тебя на рабочий день по 10 часов точно готов
28,audio_28.wav,а вот и тут
29,audio_29.wav,да конечно пацаны мне лишь бы возможность я вывезу вывезу окей тогда на связи сообщу чукак до свидания
30,audio_30.wav,аа
31,audio_31.wav,нашми станет занятым жтяг так кто их заметит если вы тут круглосуточно
32,audio_32.wav,как вас еще не очисли знаешь шарабище ты чего за такого сделать
33,audio_33.wav,47 основан
34,audio_34.wav,стайланды давайте посмотрим как у нас проходит обычная памя
35,audio_35.wav,и не будем мешать занятия заметили в аудитории есть свободные места но ни одному прогулщику не сойдет это с рук
36,audio_36.wav,в конце семья строка каждый будет обязан скачать распечатать репера из минусов может ком толчке не двери
37,audio_37.wav,молодой человек вы бы ещё посредимая позвонили на мору коль же закрыт готу чё дно идёт никаких исключений нет совсем
38,audio_38.wav,а здесь какието особые достижения вряд ли к намто к ней приходит так что ждем вас в следующем году унивешать и работать
39,audio_39.wav,тревожная музыка
40,audio_40.wav,а есть тут на принтер задача нашего чемпионата
41,audio_41.wav,не просто разъивать но и поощрять интерес к точным наукам и мы сделаем все чтобы наши ребята
42,audio_42.wav,в свере айти технологий были впереди планеты всей ну я и моя команда для этого делаю все
43,audio_43.wav,как говорится не спим работаем не покладай руку пожалуйста
44,audio_44.wav,а у вас в буклете указано что в конкурсе будет целых 7 этапов а почему так много
45,audio_45.wav,ну а почему бы и нет
46,audio_46.wav,потому что их четыре вам даже в укле было лень заклянуть да
47,audio_47.wav,а чьи но у девушки все неплохой настроение чьи но встал и не стои ноги
48,audio_48.wav,это возможно лучший нервный срыв года еще и от лица компании теперь все наши контракты с министерством по два вопроса алиса
49,audio_49.wav,ну они такие приехали в алии да кто тебе сказал вали дура я тебе вообще место замы готовил
50,audio_50.wav,не может быть и не будет алисенька потому что ты решил устроить стендап и всех насутопить
51,audio_51.wav,ну может смеет он не интересно не интересно да
52,audio_52.wav,человек прожил 22 часа в пасти кита вот вот чем ты уволила
53,audio_53.wav,динамичная музыка
54,audio_54.wav,редактор субтитров асинецкая корректор аегорова
55,audio_55.wav,динамичная музыка
56,audio_56.wav,тревожная музыка
57,audio_57.wav,тревожная музыка
58,audio_58.wav,динамичная музыка
59,audio_59.wav,тревожная музыка
60,audio_60.wav,полиции
61,audio_61.wav,тревожная музыка
62,audio_62.wav,тревожная музыка
63,audio_63.wav,тревожная музыка
64,audio_64.wav,какое мы с временной девушкой
65,audio_65.wav,и не постояние
66,audio_66.wav,наскрывается удивительная великая тайна
67,audio_67.wav,наш мир он наградует
68,audio_68.wav,полицейская музыка
69,audio_69.wav,тревожная музыка
70,audio_70.wav,тревожная музыка
71,audio_71.wav,полицейская музыка
72,audio_72.wav,тревожная музыка
73,audio_73.wav,тревожная музыка
74,audio_74.wav,тревожная музыка
75,audio_75.wav,тревожная музыка
76,audio_76.wav,динамичная музыка
77,audio_77.wav,редактор субтитров асинецкая корректор аегорова
78,audio_78.wav,тревожная музыка
79,audio_79.wav,тревожная музыка
80,audio_80.wav,тревожная музыка
81,audio_81.wav,полицеская музыка
82,audio_82.wav,тревожная музыка
83,audio_83.wav,тревожная музыка
84,audio_84.wav,стречайте участниц национального конкурса в исросе 2023
85,audio_85.wav,полицейская музыка
86,audio_86.wav,думаю сегодня гимбизарета 22тихе долиятие
87,audio_87.wav,динамичная музыка
88,audio_88.wav,морозова и готерина 22 года коза
89,audio_89.wav,тревожная музыка
90,audio_90.wav,екатерина 21 год аренбургская область
91,audio_91.wav,динамичная музыка
92,audio_92.wav,полицеская музыка
93,audio_93.wav,субтитры commission
94,audio_94.wav,не премова гевизорета 19летний умер иская область
95,audio_95.wav,тревожная музыка
96,audio_96.wav,аликсина елиза ветра 22 года биря биджан
97,audio_97.wav,алива мариана 22 года республика дагестан
98,audio_98.wav,веселая музыка
99,audio_99.wav,взлет
100,audio_100.wav,веселая музыка
101,audio_101.wav,захарченька ксинья 22 года краснодарский край
102,audio_102.wav,полицейская музыка
103,audio_103.wav,полицейская музыка
104,audio_104.wav,скажьевич александра 18 лет тюмейн
105,audio_105.wav,карибова камилла 22 года нижний камско
106,audio_106.wav,антонова анастасия 23 года республика мария л
107,audio_107.wav,погрел
108,audio_108.wav,здравствуйте здравствуйте ну что
109,audio_109.wav,вы готовы ксянс да готов что надо делать давай
110,audio_110.wav,говорите слово в общем у меня девушка и вижу вижу
111,audio_111.wav,ох огненная девка а ну давайте посмотрим что там за принцесса у моего принца кто она
112,audio_112.wav,императрицам её изовут ехатерина но это шикарная красивая и забильная ресурсная женщина
113,audio_113.wav,что тебя в ней не устраивает а есть никто будет готовить просто сейчас все вокруг такие ресурсные а иногда просто хочется
